Fc Receptor,IgG1 (M),IgG2,IgG3,IgG4
FcgRIA,6.70E-10,1,1.64E-08,2.94E-08
FcgRIIA-131R,9.50E-07,1.25E-05,1.00E-06,5.00E-06
FcgRIIA-131H,6.80E-07,2.22E-06,1.00E-06,5.00E-06
FcgRIIB,3.90E-06,5.88E-06,5.88E-06,5.00E-06
FcgRIIIA-158F,3.30E-06,4.00E-05,2.00E-07,5.00E-06
FcgRIIIA-158V,3.70E-07,1.64E-08,2.00E-07,5.00E-06
