,avidity,ligand,IgID,NK-like_activity,NK-like_Lbnd,DC-like_activity,DC-like_Lbnd
0,1,1e-09,0,0.0,2.9991012693192953,0.0,30.21018051338157
1,1,1e-09,1,0.0,6.995104426202146,0.0,124.73321675978715
2,1,1e-09,2,0.0,5.996403157505854,0.0,40.26755448644901
3,1,1e-09,3,0.0,9.999999999000007e-07,0.0,19.607844433371763
4,2,1e-09,0,1.8433708967393862e-08,5.996404174718536,0.00011059998063360839,60.793217248785346
5,2,1e-09,1,4.294328389327307e-08,13.980429438872696,15.227395673395009,238.65943742947348
6,2,1e-09,2,3.682323716172439e-08,11.98561929123246,0.48782939761343236,80.63653742953592
7,2,1e-09,3,6.1519433008261075e-15,2.000000005751943e-06,0.4546117803028659,38.67136189096674
8,4,1e-09,0,1.1046973075445141e-07,11.985621359911036,0.0006749319135141266,123.04254219058214
9,4,1e-09,1,2.5694077477619884e-07,27.921823140265996,70.20002300044189,431.8671846684115
10,4,1e-09,2,2.2041075625007021e-07,23.942542109244627,2.762824436673017,161.47349417025902
11,4,1e-09,3,3.691166009296322e-14,4.000000035311659e-06,2.547512032978633,75.15433331497219
12,8,1e-09,0,5.142918582447233e-07,23.942546382587366,0.0032517979051412877,251.58527725011413
13,8,1e-09,1,1.1923889372965888e-06,55.68815547052609,199.3899726615296,705.7387954896263
14,8,1e-09,2,1.0236757973044707e-06,47.77070957458756,11.345840377314534,322.2936044342765
15,8,1e-09,3,1.722544164552231e-13,8.00000016585441e-06,10.351566059776712,141.6249838941252
