,avidity,ligand,IgID,DC-human-Phe_activity,DC-human-Phe_Lbnd,DC-human-Val_activity,DC-human-Val_Lbnd,MO-human-Phe_activity,MO-human-Phe_Lbnd,NK-human-Phe_activity,NK-human-Phe_Lbnd,MO-human-Val_activity,MO-human-Val_Lbnd,NK-murine_activity,NK-murine_Lbnd,NK-human-Val_activity,NK-human-Val_Lbnd,DC-murine_activity,DC-murine_Lbnd,MO-murine_activity,MO-murine_Lbnd
0,1,1e-09,0,0.0,2.9991012693192953,0.0,2.9991012693192953,0.0,2.9991012693192953,0.0,2.9991012693192953,0.0,2.9991012693192953,0.0,2.9991012693192953,0.0,2.9991012693192953,0.0,2.9991012693192953,0.0,2.9991012693192953
1,1,1e-09,1,0.0,6.995104426202146,0.0,6.995104426202146,0.0,6.995104426202146,0.0,6.995104426202146,0.0,6.995104426202146,0.0,6.995104426202146,0.0,6.995104426202146,0.0,6.995104426202146,0.0,6.995104426202146
2,1,1e-09,2,0.0,5.996403157505854,0.0,5.996403157505854,0.0,5.996403157505854,0.0,5.996403157505854,0.0,5.996403157505854,0.0,5.996403157505854,0.0,5.996403157505854,0.0,5.996403157505854,0.0,5.996403157505854
3,1,1e-09,3,0.0,9.999999999000007e-07,0.0,9.999999999000007e-07,0.0,9.999999999000007e-07,0.0,9.999999999000007e-07,0.0,9.999999999000007e-07,0.0,9.999999999000007e-07,0.0,9.999999999000007e-07,0.0,9.999999999000007e-07,0.0,9.999999999000007e-07
4,1,1e-09,4,0.0,0.9999010097990301,0.0,0.9999010097990301,0.0,0.9999010097990301,0.0,0.9999010097990301,0.0,0.9999010097990301,0.0,0.9999010097990301,0.0,0.9999010097990301,0.0,0.9999010097990301,0.0,0.9999010097990301
5,1,1e-09,5,0.0,0.1999970000399594,0.0,0.1999970000399594,0.0,0.1999970000399594,0.0,0.1999970000399594,0.0,0.1999970000399594,0.0,0.1999970000399594,0.0,0.1999970000399594,0.0,0.1999970000399594,0.0,0.1999970000399594
6,1,1e-09,6,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244
7,1,1e-09,7,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244
8,1,1e-09,8,0.0,0.9999010097990301,0.0,0.9999010097990301,0.0,0.9999010097990301,0.0,0.9999010097990301,0.0,0.9999010097990301,0.0,0.9999010097990301,0.0,0.9999010097990301,0.0,0.9999010097990301,0.0,0.9999010097990301
9,1,1e-09,9,0.0,0.1999970000399594,0.0,0.1999970000399594,0.0,0.1999970000399594,0.0,0.1999970000399594,0.0,0.1999970000399594,0.0,0.1999970000399594,0.0,0.1999970000399594,0.0,0.1999970000399594,0.0,0.1999970000399594
10,1,1e-09,10,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244
11,1,1e-09,11,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244,0.0,1.9996010795841244
12,2,1e-09,0,1.947123038433847e-08,5.9964041757548125,1.947123038433847e-08,5.9964041757548125,1.947123038433847e-08,5.9964041757548125,1.947123038433847e-08,5.9964041757548125,1.947123038433847e-08,5.9964041757548125,1.947123038433847e-08,5.9964041757548125,1.947123038433847e-08,5.9964041757548125,1.947123038433847e-08,5.9964041757548125,1.947123038433847e-08,5.9964041757548125
13,2,1e-09,1,4.536030028598886e-08,13.980429441282963,4.536030028598886e-08,13.980429441282963,4.536030028598886e-08,13.980429441282963,4.536030028598886e-08,13.980429441282963,4.536030028598886e-08,13.980429441282963,4.536030028598886e-08,13.980429441282963,4.536030028598886e-08,13.980429441282963,4.536030028598886e-08,13.980429441282963,4.536030028598886e-08,13.980429441282963
14,2,1e-09,2,3.889579332846227e-08,11.985619293300052,3.889579332846227e-08,11.985619293300052,3.889579332846227e-08,11.985619293300052,3.889579332846227e-08,11.985619293300052,3.889579332846227e-08,11.985619293300052,3.889579332846227e-08,11.985619293300052,3.889579332846227e-08,11.985619293300052,3.889579332846227e-08,11.985619293300052,3.889579332846227e-08,11.985619293300052
15,2,1e-09,3,6.498198790796996e-15,2.000000006098199e-06,6.498198790796996e-15,2.000000006098199e-06,6.498198790796996e-15,2.000000006098199e-06,6.498198790796996e-15,2.000000006098199e-06,6.498198790796996e-15,2.000000006098199e-06,6.498198790796996e-15,2.000000006098199e-06,6.498198790796996e-15,2.000000006098199e-06,6.498198790796996e-15,2.000000006098199e-06,6.498198790796996e-15,2.000000006098199e-06
16,2,1e-09,4,6.495606786440575e-09,1.9996020856772518,6.495606786440575e-09,1.9996020856772518,6.495606786440575e-09,1.9996020856772518,6.495606786440575e-09,1.9996020856772518,6.495606786440575e-09,1.9996020856772518,6.495606786440575e-09,1.9996020856772518,6.495606786440575e-09,1.9996020856772518,6.495606786440575e-09,1.9996020856772518,6.495606786440575e-09,1.9996020856772518
17,2,1e-09,5,1.2995422908968163e-09,0.39998600177970206,1.2995422908968163e-09,0.39998600177970206,1.2995422908968163e-09,0.39998600177970206,1.2995422908968163e-09,0.39998600177970206,1.2995422908968163e-09,0.39998600177970206,1.2995422908968163e-09,0.39998600177970206,1.2995422908968163e-09,0.39998600177970206,1.2995422908968163e-09,0.39998600177970206,1.2995422908968163e-09,0.39998600177970206
18,2,1e-09,6,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691
19,2,1e-09,7,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691
20,2,1e-09,8,6.495606786440575e-09,1.9996020856772518,6.495606786440575e-09,1.9996020856772518,6.495606786440575e-09,1.9996020856772518,6.495606786440575e-09,1.9996020856772518,6.495606786440575e-09,1.9996020856772518,6.495606786440575e-09,1.9996020856772518,6.495606786440575e-09,1.9996020856772518,6.495606786440575e-09,1.9996020856772518,6.495606786440575e-09,1.9996020856772518
21,2,1e-09,9,1.2995422908968163e-09,0.39998600177970206,1.2995422908968163e-09,0.39998600177970206,1.2995422908968163e-09,0.39998600177970206,1.2995422908968163e-09,0.39998600177970206,1.2995422908968163e-09,0.39998600177970206,1.2995422908968163e-09,0.39998600177970206,1.2995422908968163e-09,0.39998600177970206,1.2995422908968163e-09,0.39998600177970206,1.2995422908968163e-09,0.39998600177970206
22,2,1e-09,10,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691
23,2,1e-09,11,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691,1.2986013191412119e-08,3.998402651120691
24,4,1e-09,0,1.16687400392829e-07,11.985621366113802,1.16687400392829e-07,11.985621366113802,1.16687400392829e-07,11.985621366113802,1.16687400392829e-07,11.985621366113802,1.16687400392829e-07,11.985621366113802,1.16687400392829e-07,11.985621366113802,1.16687400392829e-07,11.985621366113802,1.16687400392829e-07,11.985621366113802,1.16687400392829e-07,11.985621366113802
