,gnus,Los,DPredict,CPredict
0,2.0,1e-12,0.9493617434279384,0.7022138911234728
1,2.0,1.4873521072935119e-12,0.9493617357133066,0.7013535670358013
2,2.0,2.2122162910704503e-12,0.9493618439374527,0.7022326797492999
3,2.0,3.290344562312671e-12,0.9493618237598804,0.7022490007966746
4,2.0,4.893900918477499e-12,0.9493617952009308,0.7014081863554216
5,2.0,7.278953843983161e-12,0.9493618354349681,0.7023182719177656
6,2.0,1.0826367338740563e-11,0.9493618914310223,0.7023729105643957
7,2.0,1.6102620275609425e-11,0.9493619690885607,0.7024548914163438
8,2.0,2.395026619987491e-11,0.9493620889257379,0.7025852091714513
9,2.0,3.5622478902624517e-11,0.9493622435581609,0.702778194578534
10,2.0,5.298316906283702e-11,0.9493626144857501,0.7021806049095538
11,2.0,7.880462815669904e-11,0.9493628971058817,0.7025938838022634
12,2.0,1.1721022975334794e-10,0.9493634900161673,0.7040758297096725
13,2.0,1.7433288221999872e-10,0.9493642367182852,0.7049792702767392
14,2.0,2.592943797404667e-10,0.9493653542339372,0.7063076872816438
15,2.0,3.856620421163472e-10,0.9493669691449852,0.7073778325469556
16,2.0,5.736152510448681e-10,0.949369154611736,0.7110467423326259
17,2.0,8.531678524172814e-10,0.9493718878332976,0.7150382672988662
18,2.0,1.2689610031679233e-09,0.949374928258919,0.7199416880676344
19,2.0,1.8873918221350994e-09,0.9493776932443341,0.7276511695616148
20,2.0,2.8072162039411812e-09,0.949378235194465,0.7374031732278921
21,2.0,4.175318936560409e-09,0.9456105004524007,0.748194337833682
22,2.0,6.210169418915603e-09,0.9470685034879868,0.7568026064264988
23,2.0,9.236708571873846e-09,0.9469126300776546,0.6950354634217325
24,2.0,1.3738237958832637e-08,0.9437847962514226,0.47778597603356765
25,2.0,2.0433597178569438e-08,0.935988108159022,0.4274877735121041
26,2.0,3.0391953823132013e-08,0.9220562070304492,-0.278596765013956
27,2.0,4.52035365636025e-08,0.9027270853054811,-0.4235819719927707
28,2.0,6.723357536499335e-08,0.8954404263852791,-0.486506843825812
29,2.0,1e-07,0.7519379414330878,-0.038416846350703304
30,4.0,1e-12,0.9493620376323042,0.7017822993589247
31,4.0,1.4873521072935119e-12,0.9493620689566877,0.7018026806712199
32,4.0,2.2122162910704503e-12,0.9493620884867763,0.7018215778007746
33,4.0,3.290344562312671e-12,0.9493621207789695,0.7009933475468235
34,4.0,4.893900918477499e-12,0.9493621663811916,0.7019135167483462
35,4.0,7.278953843983161e-12,0.9493622385403215,0.7011257288760782
36,4.0,1.0826367338740563e-11,0.9341642798307577,0.703980616915233
37,4.0,1.6102620275609425e-11,0.949362487447126,0.702291026580857
38,4.0,2.395026619987491e-11,0.9493627760239214,0.7025425431700563
39,4.0,3.5622478902624517e-11,0.9493630557984163,0.7029274162360405
40,4.0,5.298316906283702e-11,0.9493635675418073,0.7034971487772603
41,4.0,7.880462815669904e-11,0.9493643896008735,0.7043396025671032
42,4.0,1.1721022975334794e-10,0.9493653650676411,0.7055644000861472
43,4.0,1.7433288221999872e-10,0.9493667771758414,0.7073714869553345
44,4.0,2.592943797404667e-10,0.9493687337498407,0.7099708757725147
45,4.0,3.856620421163472e-10,0.9493712927207503,0.7129038501790173
46,4.0,5.736152510448681e-10,0.9390314255642622,0.718237581509712
47,4.0,8.531678524172814e-10,0.9408475097796628,0.7255233082468828
48,4.0,1.2689610031679233e-09,0.942973721452077,0.7362009995542493
49,4.0,1.8873918221350994e-09,0.9451469410849721,0.7466233335941077
50,4.0,2.8072162039411812e-09,0.9468322431648267,0.7557315970733123
51,4.0,4.175318936560409e-09,0.9471585301697494,0.7317613816040927
52,4.0,6.210169418915603e-09,0.9448764399841819,0.5113410319672668
53,4.0,9.236708571873846e-09,0.9383693228300296,0.4349936684299225
54,4.0,1.3738237958832637e-08,0.9260291748911683,0.13443807055779855
55,4.0,2.0433597178569438e-08,0.9077122763142575,0.0983563146197064
56,4.0,3.0391953823132013e-08,0.8950210768391571,0.03336438726578039
57,4.0,4.52035365636025e-08,0.7583832954199279,-0.02795361247873207
58,4.0,6.723357536499335e-08,0.7345965891240875,-0.4765630870241324
59,4.0,1e-07,0.7104931916669798,-0.19420555281703544
60,8.0,1e-12,0.949362653926252,0.7009277744585123
61,8.0,1.4873521072935119e-12,0.9493626856736634,0.7000988454223556
62,8.0,2.2122162910704503e-12,0.9493628389241378,0.7028849558322157
63,8.0,3.290344562312671e-12,0.9493627620211152,0.7010934906533114
64,8.0,4.893900918477499e-12,0.9493628552679136,0.7011969462595287
65,8.0,7.278953843983161e-12,0.9493630272129953,0.7013660599745992
66,8.0,1.0826367338740563e-11,0.9493632796517164,0.701611712465024
67,8.0,1.6102620275609425e-11,0.9493635379793002,0.7019774228969033
68,8.0,2.395026619987491e-11,0.9493639843627742,0.7025172079548352
69,8.0,3.5622478902624517e-11,0.949364628181896,0.7024416551664796
70,8.0,5.298316906283702e-11,0.9348974904119958,0.703611459298235
71,8.0,7.880462815669904e-11,0.9354180259798566,0.7053294455785599
72,8.0,1.1721022975334794e-10,0.9361586153596502,0.7072756488260722
73,8.0,1.7433288221999872e-10,0.9371898521107626,0.7109086733632128
74,8.0,2.592943797404667e-10,0.9385775504661189,0.7165065291991795
75,8.0,3.856620421163472e-10,0.9403566469537042,0.7230994786354935
76,8.0,5.736152510448681e-10,0.9424707184306168,0.7339473546668145
77,8.0,8.531678524172814e-10,0.944695352208284,0.744352855022438
78,8.0,1.2689610031679233e-09,0.9465546556057526,0.7541916983764321
79,8.0,1.8873918221350994e-09,0.9472596630781736,0.7484366317148784
80,8.0,2.8072162039411812e-09,0.9456682355527916,0.5564591079024318
81,8.0,4.175318936560409e-09,0.9402723262009424,0.4424882664789441
82,8.0,6.210169418915603e-09,0.9294288886099601,0.14274645912117023
83,8.0,9.236708571873846e-09,0.9124400514236897,0.10720781540686175
84,8.0,1.3738237958832637e-08,0.894741421999236,0.06715736101832936
85,8.0,2.0433597178569438e-08,0.7652682737390489,-0.015595237847866539
86,8.0,3.0391953823132013e-08,0.740642957145702,-0.07742912735718543
87,8.0,4.52035365636025e-08,0.7171865180445121,-0.07516888228586005
88,8.0,6.723357536499335e-08,0.68960344462704,-0.13313276407717267
89,8.0,1e-07,0.6540249640018864,-0.1789056935181188
