"","target_id","nnn","SRR1976543","SRR1976571","SRR1976588","SRR1976589","SRR1976590","SRR1976591","SRR1976592","SRR1976593","SRR1976594","SRR1976595","SRR1976596","SRR1976597","SRR3932662","SRR3932663","SRR3932664","SRR3932665","SRR3932666","SRR3932667","SRR3932668","SRR3932669","SRR3932670","SRR3932671","SRR3932672","ext_gene"
"1","ENSMUST00000003512","8",68.9773,1.34981,21.06,0.421504,0.455143,6.2403,33.6896,27.6918,2.22194,0,14.9689,107.26,14.1597,243.978,9.61427,4.282,18.6817,0,59.4681,2.52347,3.61594,1.70328,0,"Fcgrt"
"2","ENSMUST00000005678","5",3.09307,2.54771,17.2374,2.66094,2.22949,1.39424,0.949023,542.214,2.84123,0.697939,1.14484,0.244389,8.85319,0.407644,408.989,0.718184,0.933801,1.47351,1.18864,0.292891,0.500456,2.81039,0.389397,"Fcer2a"
"3","ENSMUST00000024697","4",3.20477,3.03455,5.01562,11.4821,2.79208,7.87347,11.8024,10.5735,7.74094,0,0,0,2.66634,5.89662,5.61558,18.5966,10.5104,4.00666,5.93569,10.0171,8.7225,10.3523,7.89106,"Hcfc1r1"
"4","ENSMUST00000027670","3",0.358914,0.0405115,38.1668,0.0576343,0.0963642,0.0330992,0.0191552,7.61144,0.610655,0,0,0,6.44549,0,13.0947,0.0646333,0,0,0,0.208141,0,0,0,"Fcamr"
"5","ENSMUST00000027966","13",7.96766,4.77137,12.9395,3.7639,0.0739096,0.11877,0.0570652,9.41261,0,0.0854712,4.71416,59.5032,8.80808,46.9756,19.6385,0.34873,0.106666,4.59029,7.6787,3.91235,0.336743,1.02449,0.0969213,"Fcgr2b"
"6","ENSMUST00000029748","7",0.986693,0.342876,0.049786,0,0.0628562,0.151166,0,0,0.511733,0.365647,2.56544,9.906,0,20.6479,0,0.0852441,0,1.03645,1.30203,0,0.479279,0.152402,0.0408743,"Fcgr1"
"7","ENSMUST00000038829","6",2.22547,3.87561,578.404,5.79801,6.11577,2.11829,1.18351,1171.93,17.2044,0,0.2622,0.458403,543.155,1.04105,746.555,0.816725,0.672212,1.63305,8.39703,0,0.572185,11.4095,3.92199,"Fcmr"
"8","ENSMUST00000046322","13",6.99992,0.348677,82.8566,1.40969,0.24826,0.341328,0,141.053,3.13955,0,0,0,81.4675,0,134.194,0,0,0,8.37963,0,0,1.06449,0,"Fcrla"
"9","ENSMUST00000049706","10",0,0,0,0,0,0,0,0,0,0,1.36413,0,0,0,0,0,0,0,0,0,0,2.20785,0,"Fcer1a"
"10","ENSMUST00000049926","14",0.119443,0,28.2851,0,0,0,0,26.1867,0,0,0,0.917259,62.2355,0,26.6241,0,0,0,0.186068,0,0,0,0,"Fcrl5"
"11","ENSMUST00000072480","8",13.5155,5.57073,8.38461,0.110932,0,1.02703,0.287797,64.5393,0.0138133,1.41453,3.24041,0,2.26961,0,18.1873,0,0,9.98684,21.3713,0,1.43989,3.83658,0.757949,"Fcrl1"
"12","ENSMUST00000078825","4",26.2253,302.956,10.1318,0.232059,1.80736,0.811556,0.85067,0.660248,5.16523,0.323592,86.0818,59.3803,9.5516,130.628,0.573415,0.815843,0.375037,320.694,30.1475,2.86769,5.74724,8.17229,0.35394,"Fcgr4"
"13","ENSMUST00000079957","11",460.802,1070.13,11.0083,2143.82,11.3623,6.28491,5.49491,3.15011,73.3248,5.66609,341.328,588.752,6.17957,925.223,2.55621,3.90612,3.21597,1891.74,566.119,3675.88,113.549,75.3858,4.80528,"Fcer1g"
"14","ENSMUST00000081103","11",46.899,18.4051,71.9321,43.9176,0.774884,0.159349,0.428135,79.4248,0.351757,0,18.9531,138.815,61.5314,302.687,54.0678,0,0.239136,20.4145,25.5421,35.1914,2.48932,4.67381,0,"Fcgr2b"
"15","ENSMUST00000090986","10",0.0298971,0.030328,2.00154,0.871726,0,0.223352,0,0.0186279,0,1.89109,1.76352,5.20722,1.25948,3.11323,0,0.146502,0,0.158191,0.057409,1.93149,3.1753,0,0,"Fcrls"
"16","ENSMUST00000094303","5",0.669265,0.0802963,0.0964874,0.585508,0,0.0643837,0.110116,0,0,0,0,0,0,0,0,0,0,0,1.6395,0.253514,0,0,0,"Fcrl6"
"17","ENSMUST00000094337","1",2.63677,0,0.570364,0.768531,0,0,0,0.350531,0,0,0.25492,0,0.669756,0,0.559795,0,0,0,2.64884,0.772205,0,0.159993,0,"Fcrlb"
"18","ENSMUST00000112477","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fcamr"
"19","ENSMUST00000126821","1",0,0,0.687716,0,0,0,0,0.793376,0,0,0,0,15.2505,1.33168,17.3456,0,0,0.67298,0,0,0,0.380747,0,"Fcmr"
"20","ENSMUST00000145446","1",0,0,7.81105e-07,0.76464,1.90192,0,0.986643,1.11144,6.47354,0,0.291813,0.244858,3.20314,0,2.84554,0,9.93817e-07,0,0,0.292936,0,0,0,"Fcmr"
"21","ENSMUST00000146512","1",0,0,0,0.144386,0,0,0,0,0,0,0.557977,0,0.52241,0.515867,0,0,0,0,0,0.0236262,0,0,0,"Fcrls"
"22","ENSMUST00000149355","1",1.64374,0,7.2092,0,0,0.898249,0.463493,16.0001,4.8891,2.85652,0,0,102.029,0,54.9101,0.150489,0.522323,0,2.45579,0.350763,0.31517,1.57808,0,"Fcmr"
"23","ENSMUST00000150997","1",1.25529,13.6548,0,0.882984,0,0,0,0,0,0,2.82699,0,0,0,0,0,0,8.30786,3.66198,4.12066,0,0,0,"Fcer1g"
"24","ENSMUST00000159149","7",0.301729,0,4.70436,0,0,0.298733,0,3.78406,2.1651,0,0.199544,0,11.4064,0,15.5652,0.161445,0.387876,2.03115,0,0.186671,0.379613,0,0,"Fcrla"
"25","ENSMUST00000159171","1",22.272,0.8994,165.665,0.903396,1.19923,0.0709427,0.823899,318.836,1.19426,0,0,2.25496,210.758,0,249.843,0,0,0,18.486,0,0,3.8954,0,"Fcrla"
"26","ENSMUST00000159364","2",19.1807,30.9121,0,0,0,0,0,0.680824,0,0,1.18099,33.582,0.444516,43.007,1.14806,0.73658,0,25.967,3.10927,0,0,0,0.570842,"Fcor"
"27","ENSMUST00000159688","1",1.03959,0,0,1.3937,0.276089,0.195227,0,1.00688,4.4698,0,0,0,0,0,1.92374,0.12385,0.305771,0,0,0.391708,0,1.06951,0,"Fcgr2b"
"28","ENSMUST00000159969","7",0,0,1.96514,5.5284,0,0,0.0920445,9.14012,0,0,0.173494,0,5.89611,0,12.9573,0,0,3.46818,3.97601e-07,4.35454,0,0,0,"Fcgr2b"
"29","ENSMUST00000160106","7",5.02333,2.67579,27.342,2.07484,0,0,0.039002,9.31747,0,0,5.08124,17.3359,12.2462,11.9719,16.6463,0,0.112104,2.41756,2.83289,1.1592,0,0.24966,0,"Fcgr2b"
"30","ENSMUST00000161050","1",0,0.752759,9.74604,0,0,0,0,16.6832,0,0,1.54739,0,13.379,0,19.5308,0.136524,0,0,0.626602,0,0,0,0,"Fcrla"
"31","ENSMUST00000161503","1",13.813,9.25114,79.5452,5.93822,0.213524,0,0.239592,20.74,6.41886,0,14.5209,41.0803,52.8013,48.734,62.7207,0,0,6.01789,11.74,25.0947,0,0,0,"Fcgr2b"
"32","ENSMUST00000161730","1",6.59222,3.1871,10.2703,2.93668,0,0,0,4.57267,0.909647,0,0.641751,5.32466,4.89367,4.08987,8.78025,0,0,0,0.39833,0,0,0,0.132271,"Fcgr2b"
"33","ENSMUST00000162136","1",0,0.164491,0.134174,0,0,0,0,0,0,0,0,0,0,1.89953,0,0,0,0,0,0,0,0,0.146352,"Fcrla"
"34","ENSMUST00000162887","1",3.6455,0,11.8064,0,0,0,0,12.7108,0,0,0,0,14.816,0,19.772,0,0,0,0,0.0974742,0,0,0,"Fcrla"
"35","ENSMUST00000163661","7",79.3642,29.1746,52.2609,1.61146,5.46145,4.18409,1.62005,335.716,15.7279,0,2.86158,0.196087,19.1075,0,164.208,2.94353,1.01591,13.5641,39.0938,0,1.16417,0,3.1548,"Fcrl1"
"36","ENSMUST00000164044","7",4.95268,283.331,1.10312,49.8053,3.106,1.69796,1.83145,0,0,0,15.3388,253.269,0.42167,609.625,0,2.08368,1.48272,446.984,2.88987,38.0052,2.77486,4.50293,0.2437,"Fcgr3"
"37","ENSMUST00000164179","1",0,4.15194,0.110543,4.08386,0,0.153776,0.327299,0.0836862,0,2.49507,0,0,0,26.6112,0,0,0.352448,0,0,4.40398,0,0,0,"Fcgr3"
"38","ENSMUST00000166297","6",0,0,0,0,0,0,0,0.169324,0,0,0,0,0,0,0.116305,0,0,0.240951,0,0,0,0,0,"Fcrl5"
"39","ENSMUST00000167200","6",6.22041,3.54278e-07,7.79025,0.306018,0,0,3.35821e-08,24.2482,0.823469,0,0,0,7.44578,0,63.3954,0.0758545,0,0,2.05281,0.52184,0,3.02091,1.37072,"Fcrl1"
"40","ENSMUST00000168817","1",0,54.1601,0,2.33683,0.154837,0.228923,0,0,0,0,2.03226,13.7515,0,5.80299,0.902775,0,0,50.2365,1.07169,0.338057,0,0,0,"Fcgr3"
"41","ENSMUST00000169017","7",1.15175,46.3053,0,6.31938,0.0430584,0,0,0.222738,3.6669,0,0,38.8854,0.14406,66.3574,0,0,0,89.5602,1.66869,2.19001,0,1.39527,0,"Fcgr3"
"42","ENSMUST00000178261","2",0,0,9.30466,0,0,0,0,3.34238,0,0,0,0,3.96831,0,5.47655,0,0,0,0.186068,0,0,0,0,"Fcrl5"
"43","ENSMUST00000179928","1",0.000158604,0,0,1.292,0,1.53105e-07,0,0,12.164,2.04018,0.000593249,7.56599,0,9.5923e-08,3.02381e-05,0.0213436,0,0,15.1947,22.1488,16.8957,9.56373,20.5353,"Hcfc1r1"
"44","ENSMUST00000180140","7",29.5698,34.3287,34.3446,41.326,24.3096,25.3902,16.4654,25.274,1.50439e-07,16.7793,28.0667,45.4918,53.5398,65.9454,38.9527,34.7109,27.9214,72.5818,22.3829,45.0691,18.6265,27.9404,38.9093,"Hcfc1r1"
"45","ENSMUST00000191666","1",1.43506e-08,1.74683,0,0,2.42257,0,0,0,0,0,4.1281,0,21.2129,1.30603,67.3196,0.376698,0,9.60143,31.2062,0.0345146,0,4.89648,2.2185,"Fcrl1"
"46","ENSMUST00000193017","1",0,0.773385,0,0,0,0,0,0,0,0,0,0,0,0,0.457736,0,0,0,0.174134,0,0,0.13703,0,"Fcer1a"
"47","ENSMUST00000193229","5",0.359554,0,0.343963,0,0,0,0,0,0,0,0,0,0.432088,0,0.640239,0,0,0,1.11787,0,0,0,0,"Fcrl5"
"48","ENSMUST00000193431","1",0,0,0,1.78736,0,0,0,0,0.594655,0.305528,0.493713,0,0,0,0,0,0,0,0.144227,1.28448,0.0788166,0.620623,0,"Fcrl6"
"49","ENSMUST00000193566","5",0.175896,0,0,0.25919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0476,0,0,0,"Fcrl6"
"50","ENSMUST00000193854","1",5.37585,4.49265,2.74945,0,0,0.0851433,0.0322447,5.41779,1.19414,0,0.602509,0.472927,0.737434,0,10.886,0,0,1.13547,2.41268,0,0,0,0,"Fcrl1"
"51","ENSMUST00000193973","1",110.547,237.209,4.529,68.9398,0,0.88819,0,0,20.7807,0,32.8957,70.6678,0,5.73935,1.1948,0,1.12584e-07,98.1204,51.4577,91.8772,0,0,0.637985,"Fcer1g"
"52","ENSMUST00000194102","5",0.769644,0.559829,38.3106,0.279717,0.633593,0.183304,0.279006,14.5793,0.663696,0.0775954,1.92687,0,56.7132,0.463553,30.7729,0.271005,0.278826,0,1.1311,0.0968622,0.0407806,0.484422,0.173605,"Fcrl5"
"53","ENSMUST00000194786","5",2.11092,3.9976,7.25839,0,0,0.194579,0,19.2693,0,0,0,0,1.43203,0,25.4621,0.586055,0,3.66981,1.38521,0,0,0.477836,0,"Fcrl1"
"54","ENSMUST00000198911","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hcfc1r1-ps1"
"55","ENSMUST00000199379","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hcfc1r1-ps2"
"56","ENSMUST00000200420","1",1.2919,0,0,0,0,0,0,0,0,0,0.00509106,4.87177,0,8.14154,0,0,0,0.340756,0,0.462828,0.301129,0,0.124199,"Fcgr1"
"57","ENSMUST00000207327","1",1.25579,0.0905891,2.3373,0,0,0,0,21.3992,0.2771,0,0,0,0.799744,0,36.7127,0,0,0,0,0,0,0,0,"Fcer2a"
"58","ENSMUST00000207463","1",0,0,0,0,0,0,0.498537,8.76967,0,0.522856,0,0,0,1.64953,0,0,0,0,0,0,0,0,0,"Fcer2a"
"59","ENSMUST00000207635","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fcer2a"
"60","ENSMUST00000208145","1",1.94441e-06,1.27492e-08,4.48482,0,0,2.00086e-07,0,511.397,4.54362e-07,0,0,0,7.12191,0,267.657,0,0,0,0,0,0,1.11764,0,"Fcer2a"
"61","ENSMUST00000208438","1",0,0,0,0,0,0,0,3.13251,0,0,0,0,0,0,1.19768,0,0,0,0,0,0,0,0,"Fcer2a"
"62","ENSMUST00000208492","1",4.45503,0.0539765,20.4475,2.66876,0,0.314489,0,271.222,2.77512,0,0,0,4.31964e-08,0,84.0581,0,0,0,0,0,0,0,0,"Fcer2a"
"63","ENSMUST00000208603","1",0,0.312098,0,0,0,0.0546184,0,2.4769,0.837669,0,0,0,0,0,4.45918,0,0,0,2.91369,0,0,0,0,"Fcer2a"
"64","ENSMUST00000209830","1",0,0,0,0,0,0,0,0,0,0,0,8.47375,0,0,0,0,0,0,0,0,0,0,0,"Fcgrt"
"65","ENSMUST00000210642","1",25.5997,0,13.6733,1.80034,0.657035,7.01416e-06,13.8642,9.17976,2.75227,0.068619,4.25539,30.605,11.0864,202.483,24.3737,6.86918,25.3433,0.6793,38.5289,1.57945,4.95047e-05,6.68155,0.590319,"Fcgrt"
"66","ENSMUST00000211085","1",0,0,0,0,0,0,0,0,0.00392316,0,0,0,0,0,0,0,0,1.54546e-07,0,0,0,0,0.690382,"Fcgrt"
"67","ENSMUST00000211535","1",5.25491,0,3.9896,0,0,0,1.52532,0,0.245029,0,4.23085,3.50404,0.521169,5.43511,0.592653,0,1.0212,0,6.84065,0.950541,0,0.510561,0,"Fcgrt"
"68","ENSMUST00000211668","1",12.4838,5.02783,3.1077,1.27551,3.49736,4.14429,3.24875,2.78291,5.08484,1.12309,5.57017,8.58043,1.23027,1.92944,3.27587,1.03158,4.74764,1.39223,4.52972,2.03682,1.16984,1.65589,0.846243,"Fcgrt"
